,Date,Frequency
0,2020-02-01,0
1,2020-02-02,1
2,2020-02-03,0
3,2020-02-04,0
4,2020-02-05,0
5,2020-02-06,0
6,2020-02-07,1
7,2020-02-08,2
8,2020-02-09,2
9,2020-02-10,1
10,2020-02-11,0
11,2020-02-12,1
12,2020-02-13,1
13,2020-02-14,3
14,2020-02-15,0
15,2020-02-16,4
16,2020-02-17,2
17,2020-02-18,8
18,2020-02-19,18
19,2020-02-20,13
20,2020-02-21,13
21,2020-02-22,11
22,2020-02-23,19
23,2020-02-24,16
24,2020-02-25,26
25,2020-02-26,19
26,2020-02-27,23
27,2020-02-28,16
28,2020-02-29,0
29,2020-03-01,7
30,2020-03-02,15
31,2020-03-03,14
32,2020-03-04,31
33,2020-03-05,28
34,2020-03-06,15
35,2020-03-07,11
36,2020-03-08,15
37,2020-03-09,10
38,2020-03-10,11
39,2020-03-11,25
40,2020-03-12,10
41,2020-03-13,9
42,2020-03-13,9
43,2020-03-14,10
44,2020-03-15,10
45,2020-03-16,12
46,2020-03-17,7
47,2020-03-18,10
48,2020-03-19,18
49,2020-03-20,14
50,2020-03-21,12
51,2020-03-22,19
52,2020-03-23,6
53,2020-03-24,20
54,2020-03-25,14
55,2020-03-25,12
56,2020-03-26,18
57,2020-03-27,12
58,2020-03-28,16
59,2020-03-29,30
60,2020-03-30,16
61,2020-03-31,0
62,2020-04-01,12
63,2020-04-02,10
64,2020-04-03,22
65,2020-04-04,12
66,2020-04-05,12
67,2020-04-06,9
68,2020-04-07,19
69,2020-04-08,16
70,2020-04-09,18
71,2020-04-10,18
72,2020-04-11,17
73,2020-04-12,12
74,2020-04-12,0
75,2020-04-13,11
76,2020-04-14,21
77,2020-04-15,15
78,2020-04-16,20
79,2020-04-17,13
